iter	Passed	Remaining
0	94	113040
1	135	81423
2	178	71266
3	220	65901
4	263	63074
5	305	60813
6	347	59200
7	387	57794
8	428	56741
9	469	55896
10	515	55673
11	562	55710
12	606	55423
13	650	55095
14	691	54632
15	732	54199
16	774	53921
17	816	53611
18	856	53229
19	896	52921
20	938	52708
21	981	52567
22	1022	52332
23	1064	52170
24	1107	52054
25	1148	51859
26	1196	51970
27	1244	52111
28	1286	51963
29	1327	51770
30	1367	51551
31	1407	51365
32	1445	51125
33	1488	51054
34	1530	50931
35	1570	50795
36	1611	50642
37	1650	50471
38	1691	50341
39	1733	50265
40	1774	50169
41	1814	50033
42	1853	49872
43	1894	49774
44	1934	49639
45	1978	49632
46	2017	49501
47	2062	49489
48	2103	49401
49	2143	49291
50	2182	49173
51	2222	49071
52	2263	48991
53	2303	48895
54	2344	48807
55	2383	48691
56	2424	48623
57	2467	48592
58	2510	48557
59	2552	48491
60	2594	48439
61	2635	48375
62	2714	48986
63	2753	48882
64	2796	48827
65	2837	48749
66	2877	48652
67	2920	48612
68	2962	48562
69	3000	48443
70	3041	48359
71	3080	48261
72	3120	48176
73	3161	48107
74	3197	47966
75	3240	47927
76	3282	47871
77	3324	47820
78	3364	47747
79	3407	47698
80	3446	47612
81	3487	47555
82	3526	47462
83	3564	47353
84	3602	47256
85	3642	47189
86	3685	47152
87	3731	47157
88	3772	47095
89	3813	47037
90	3852	46947
91	3890	46853
92	3928	46764
93	3965	46661
94	4004	46573
95	4042	46490
96	4081	46414
97	4124	46380
98	4163	46301
99	4202	46232
100	4243	46175
101	4283	46108
102	4325	46071
103	4362	45976
104	4406	45950
105	4446	45888
106	4483	45800
107	4522	45725
108	4561	45657
109	4599	45578
110	4635	45479
111	4675	45414
112	4713	45340
113	4749	45242
114	4791	45202
115	4832	45155
116	4874	45118
117	4913	45051
118	4950	44973
119	4990	44918
120	5027	44831
121	5064	44745
122	5102	44677
123	5144	44640
124	5184	44586
125	5223	44522
126	5263	44468
127	5303	44413
128	5345	44381
129	5389	44358
130	5433	44340
131	5473	44287
132	5519	44279
133	5558	44218
134	5596	44152
135	5638	44109
136	5680	44072
137	5717	44001
138	5758	43957
139	5797	43892
140	5839	43855
141	5883	43836
142	5926	43806
143	5966	43757
144	6010	43729
145	6053	43702
146	6093	43650
147	6132	43589
148	6172	43537
149	6211	43479
150	6254	43450
151	6297	43418
152	6337	43367
153	6376	43309
154	6417	43266
155	6457	43218
156	6497	43162
157	6535	43099
158	6575	43050
159	6616	43008
160	6660	42980
161	6699	42928
162	6737	42866
163	6776	42808
164	6816	42756
165	6855	42699
166	6897	42664
167	6940	42635
168	6986	42622
169	7035	42625
170	7079	42602
171	7127	42600
172	7176	42604
173	7228	42623
174	7278	42630
175	7334	42674
176	7415	42858
177	7470	42890
178	7517	42877
179	7565	42870
180	7611	42848
181	7655	42823
182	7696	42773
183	7743	42756
184	7805	42825
185	7859	42849
186	7908	42843
187	7959	42845
188	8002	42807
189	8045	42768
190	8081	42693
191	8117	42617
192	8158	42570
193	8199	42518
194	8238	42458
195	8284	42436
196	8329	42406
197	8375	42385
198	8417	42343
199	8464	42322
200	8507	42282
201	8544	42213
202	8589	42187
203	8631	42139
204	8673	42099
205	8713	42045
206	8751	41980
207	8790	41924
208	8833	41887
209	8870	41820
210	8914	41782
211	8951	41716
212	8987	41648
213	9029	41603
214	9071	41558
215	9119	41545
216	9163	41510
217	9209	41485
218	9250	41436
219	9288	41375
220	9329	41327
221	9370	41279
222	9416	41255
223	9460	41218
224	9498	41159
225	9535	41095
226	9574	41038
227	9611	40977
228	9650	40920
229	9691	40873
230	9727	40804
231	9764	40742
232	9802	40683
233	9844	40639
234	9882	40581
235	9921	40525
236	9960	40472
237	9999	40417
238	10037	40361
239	10079	40318
240	10115	40253
241	10158	40213
242	10200	40171
243	10238	40115
244	10276	40056
245	10314	39999
246	10351	39940
247	10395	39905
248	10434	39854
249	10477	39814
250	10519	39771
251	10557	39717
252	10595	39660
253	10633	39603
254	10672	39552
255	10709	39490
256	10749	39444
257	10787	39387
258	10827	39337
259	10868	39293
260	10906	39239
261	10947	39192
262	10984	39133
263	11022	39080
264	11059	39019
265	11096	38963
266	11136	38915
267	11176	38865
268	11215	38815
269	11255	38767
270	11292	38711
271	11332	38663
272	11374	38623
273	11416	38581
274	11459	38545
275	11501	38504
276	11542	38460
277	11580	38407
278	11619	38356
279	11660	38313
280	11698	38257
281	11741	38221
282	11780	38171
283	11821	38128
284	11865	38095
285	11909	38061
286	11953	38024
287	11995	37984
288	12035	37938
289	12075	37891
290	12114	37843
291	12154	37796
292	12191	37740
293	12234	37703
294	12273	37651
295	12312	37603
296	12350	37551
297	12387	37493
298	12426	37445
299	12466	37400
300	12505	37349
301	12546	37307
302	12585	37259
303	12624	37209
304	12674	37193
305	12717	37155
306	12758	37110
307	12799	37068
308	12836	37013
309	12872	36955
310	12907	36895
311	12948	36852
312	12988	36806
313	13024	36749
314	13061	36695
315	13099	36645
316	13140	36603
317	13180	36556
318	13222	36516
319	13261	36470
320	13302	36427
321	13339	36373
322	13379	36327
323	13419	36281
324	13457	36232
325	13495	36182
326	13532	36127
327	13571	36080
328	13610	36031
329	13648	35983
330	13686	35931
331	13726	35888
332	13766	35841
333	13803	35788
334	13843	35744
335	13883	35700
336	13923	35655
337	13960	35602
338	13999	35555
339	14041	35516
340	14077	35461
341	14114	35411
342	14152	35359
343	14193	35319
344	14229	35265
345	14275	35235
346	14322	35207
347	14360	35158
348	14402	35118
349	14438	35066
350	14474	35011
351	14513	34963
352	14549	34911
353	14586	34858
354	14623	34806
355	14658	34752
356	14696	34703
357	14758	34710
358	14797	34664
359	14836	34617
360	14876	34574
361	14912	34521
362	14952	34477
363	14993	34435
364	15037	34401
365	15080	34364
366	15120	34318
367	15158	34270
368	15197	34226
369	15235	34177
370	15274	34129
371	15312	34081
372	15347	34027
373	15389	33988
374	15431	33949
375	15471	33906
376	15513	33865
377	15552	33819
378	15589	33771
379	15625	33719
380	15663	33670
381	15701	33621
382	15739	33574
383	15780	33532
384	15819	33487
385	15857	33441
386	15896	33394
387	15934	33346
388	15971	33298
389	16009	33249
390	16045	33199
391	16083	33152
392	16123	33109
393	16161	33060
394	16197	33011
395	16233	32959
396	16272	32913
397	16312	32870
398	16351	32825
399	16389	32778
400	16427	32731
401	16467	32689
402	16511	32653
403	16550	32608
404	16587	32561
405	16627	32517
406	16665	32470
407	16703	32424
408	16740	32376
409	16779	32331
410	16819	32289
411	16861	32250
412	16903	32211
413	16943	32168
414	16981	32120
415	17017	32072
416	17056	32026
417	17102	31995
418	17142	31952
419	17183	31912
420	17218	31860
421	17258	31817
422	17289	31759
423	17333	31722
424	17373	31681
425	17417	31646
426	17453	31596
427	17496	31559
428	17537	31517
429	17575	31471
430	17614	31427
431	17649	31377
432	17691	31338
433	17728	31290
434	17767	31247
435	17806	31202
436	17842	31153
437	17882	31110
438	17922	31068
439	17958	31019
440	17998	30977
441	18039	30936
442	18078	30893
443	18118	30851
444	18159	30810
445	18205	30778
446	18246	30736
447	18284	30691
448	18320	30642
449	18360	30601
450	18398	30556
451	18434	30506
452	18472	30461
453	18510	30415
454	18549	30372
455	18587	30326
456	18628	30286
457	18667	30243
458	18704	30195
459	18740	30147
460	18783	30110
461	18821	30065
462	18862	30025
463	18899	29978
464	18938	29934
465	18975	29888
466	19011	29841
467	19048	29794
468	19083	29744
469	19119	29695
470	19156	29650
471	19195	29607
472	19238	29568
473	19272	29519
474	19309	29471
475	19345	29424
476	19386	29383
477	19423	29338
478	19460	29293
479	19498	29247
480	19542	29212
481	19580	29167
482	19622	29128
483	19659	29082
484	19697	29039
485	19739	28999
486	19779	28958
487	19813	28908
488	19849	28860
489	19889	28818
490	19925	28772
491	19961	28724
492	19999	28680
493	20043	28644
494	20084	28605
495	20128	28569
496	20176	28538
497	20213	28493
498	20253	28452
499	20294	28412
500	20332	28367
501	20369	28323
502	20406	28277
503	20446	28235
504	20482	28188
505	20521	28145
506	20558	28100
507	20600	28061
508	20638	28017
509	20680	27979
510	20721	27940
511	20760	27897
512	20797	27852
513	20836	27808
514	20875	27765
515	20909	27717
516	20951	27678
517	20990	27636
518	21025	27588
519	21064	27546
520	21105	27506
521	21144	27462
522	21182	27419
523	21223	27379
524	21264	27340
525	21304	27298
526	21346	27260
527	21383	27215
528	21421	27171
529	21459	27128
530	21500	27087
531	21541	27047
532	21577	27001
533	21612	26954
534	21654	26916
535	21692	26873
536	21731	26830
537	21769	26787
538	21807	26742
539	21849	26704
540	21885	26658
